start_iso,latency_ms,status_code,error,bytes
2025-11-11T13:26:54.119323-05:00,185.777,200,,9895
2025-11-11T13:26:54.1158635-05:00,194.726,200,,9895
2025-11-11T13:26:54.1305785-05:00,238.079,200,,9895
2025-11-11T13:26:54.1483068-05:00,244.683,200,,9895
2025-11-11T13:26:54.1445411-05:00,256.110,200,,9895
2025-11-11T13:26:54.1412684-05:00,266.548,200,,9895
2025-11-11T13:26:54.2268704-05:00,217.727,200,,9895
2025-11-11T13:26:54.2195323-05:00,232.120,200,,9895
2025-11-11T13:26:54.1265633-05:00,325.089,200,,9895
2025-11-11T13:26:54.1122654-05:00,377.725,200,,9895
2025-11-11T13:26:54.137303-05:00,359.314,200,,9895
2025-11-11T13:26:54.1336903-05:00,373.227,200,,9895
2025-11-11T13:26:54.1229487-05:00,391.827,200,,9895
2025-11-11T13:26:54.1590835-05:00,355.692,200,,9895
2025-11-11T13:26:54.2624105-05:00,272.543,200,,9895
2025-11-11T13:26:54.2661812-05:00,277.304,200,,9895
2025-11-11T13:26:54.162607-05:00,427.188,200,,9895
2025-11-11T13:26:54.1556421-05:00,454.498,200,,9895
2025-11-11T13:26:54.1662049-05:00,443.935,200,,9895
2025-11-11T13:26:54.1698129-05:00,446.007,200,,9895
2025-11-11T13:26:54.3233156-05:00,298.656,200,,9895
2025-11-11T13:26:54.176746-05:00,451.934,200,,9895
2025-11-11T13:26:54.3269301-05:00,305.324,200,,9895
2025-11-11T13:26:54.1839817-05:00,448.273,200,,9895
2025-11-11T13:26:54.2807333-05:00,375.010,200,,9895
2025-11-11T13:26:54.2770253-05:00,384.460,200,,9895
2025-11-11T13:26:54.2409577-05:00,420.528,200,,9895
2025-11-11T13:26:54.3017898-05:00,359.696,200,,9895
2025-11-11T13:26:54.2481181-05:00,423.953,200,,9895
2025-11-11T13:26:54.2592798-05:00,420.137,200,,9895
2025-11-11T13:26:54.287652-05:00,391.765,200,,9895
2025-11-11T13:26:54.2699626-05:00,420.114,200,,9895
2025-11-11T13:26:54.244683-05:00,445.394,200,,9895
2025-11-11T13:26:54.1979846-05:00,505.014,200,,9895
2025-11-11T13:26:54.2308426-05:00,475.938,200,,9895
2025-11-11T13:26:54.362474-05:00,349.414,200,,9895
2025-11-11T13:26:54.2088052-05:00,507.172,200,,9895
2025-11-11T13:26:54.3699653-05:00,352.022,200,,9895
2025-11-11T13:26:54.2378646-05:00,484.684,200,,9895
2025-11-11T13:26:54.273575-05:00,466.724,200,,9895
2025-11-11T13:26:54.3979942-05:00,352.908,200,,9895
2025-11-11T13:26:54.3305868-05:00,426.564,200,,9895
2025-11-11T13:26:54.4051746-05:00,351.976,200,,9895
2025-11-11T13:26:54.3590364-05:00,400.901,200,,9895
