start_iso,latency_ms,status_code,error,bytes
2025-11-11T13:29:58.9303305-05:00,186.072,200,,3880
2025-11-11T13:29:59.1299031-05:00,87.524,200,,3880
2025-11-11T13:29:59.3295942-05:00,92.466,200,,3879
2025-11-11T13:29:59.5296632-05:00,86.567,200,,3879
2025-11-11T13:29:59.7296611-05:00,87.641,200,,3880
2025-11-11T13:29:59.9297821-05:00,90.270,200,,3880
2025-11-11T13:30:00.1294721-05:00,201.059,200,,3880
2025-11-11T13:30:00.3298926-05:00,93.335,200,,3880
2025-11-11T13:30:00.5301241-05:00,108.205,200,,3880
2025-11-11T13:30:00.7301748-05:00,102.060,200,,3880
2025-11-11T13:30:00.929884-05:00,104.618,200,,3880
2025-11-11T13:30:01.1299059-05:00,103.174,200,,3880
2025-11-11T13:30:01.3300823-05:00,108.477,200,,3880
2025-11-11T13:30:01.5296481-05:00,104.763,200,,3879
2025-11-11T13:30:01.7298208-05:00,102.239,200,,3880
2025-11-11T13:30:01.9297905-05:00,105.089,200,,3880
2025-11-11T13:30:02.1300759-05:00,105.861,200,,3880
2025-11-11T13:30:02.3296154-05:00,133.667,200,,3879
2025-11-11T13:30:02.5298814-05:00,102.472,200,,3880
2025-11-11T13:30:02.7298034-05:00,102.681,200,,3880
2025-11-11T13:30:02.9294444-05:00,101.431,200,,3879
2025-11-11T13:30:03.1299577-05:00,119.643,200,,3880
2025-11-11T13:30:03.329641-05:00,103.406,200,,3880
2025-11-11T13:30:03.5302979-05:00,108.857,200,,3880
2025-11-11T13:30:03.7298706-05:00,102.794,200,,3880
2025-11-11T13:30:03.9300619-05:00,100.946,200,,3880
2025-11-11T13:30:04.1301964-05:00,99.571,200,,3880
2025-11-11T13:30:04.3296032-05:00,113.962,200,,3880
2025-11-11T13:30:04.5298847-05:00,100.659,200,,3880
2025-11-11T13:30:04.7298572-05:00,105.568,200,,3880
2025-11-11T13:30:04.9298296-05:00,103.774,200,,3880
2025-11-11T13:30:05.1299217-05:00,101.473,200,,3880
2025-11-11T13:30:05.3299418-05:00,113.380,200,,3880
2025-11-11T13:30:05.5297058-05:00,104.313,200,,3880
2025-11-11T13:30:05.7298377-05:00,102.418,200,,3880
2025-11-11T13:30:05.9295985-05:00,100.404,200,,3880
2025-11-11T13:30:06.129864-05:00,108.311,200,,3880
2025-11-11T13:30:06.3296394-05:00,102.437,200,,3880
2025-11-11T13:30:06.5296121-05:00,101.180,200,,3880
2025-11-11T13:30:06.7301651-05:00,103.153,200,,3880
2025-11-11T13:30:06.9295957-05:00,105.917,200,,3880
2025-11-11T13:30:07.1301344-05:00,107.189,200,,3880
2025-11-11T13:30:07.3299742-05:00,106.611,200,,3880
